출판사명,레이블명,분야,출처,비고
페퍼민트,페퍼민트,장르소설,기존(0615),
펜드라마,펜드라마,,본부장확인(0721),
푸르름,푸르름,장르소설,기존(0615),
플로린,고트북스,,본부장확인(0721),
플로린,리본,,본부장확인(0721),
플로린,영북스,,본부장확인(0721),
플로린,오브 (Aube),,본부장확인(0721),
플로린,플로린,,본부장확인(0721),
피우리,웰콘텐츠,장르소설,기존(0615),
피우리,피우리,일반단행본,기존(0615),
피제이미디어,PJ미디어,,본부장확인(0721),
피플앤스토리,ardor,장르소설,기존(0615),
피플앤스토리,halo,장르소설,기존(0615),
피플앤스토리,레드피플,장르소설,기존(0615),
피플앤스토리,시나몬북스,장르소설,기존(0615),
피플앤스토리,지노벨,장르소설,기존(0615),
피플앤스토리,페가수스,장르소설,기존(0615),
피플앤스토리,피플앤스토리,장르소설,기존(0615),
하마출판사,하마,일반단행본,기존(0615),
하이북,팀씨에스피,,본부장확인(0721),
한결미디어,한결미디어,일반단행본,기존(0615),
해피북스투유,뒹굴,,본부장확인(0721),
해피북스투유,레드라인,장르소설,기존(0615),
해피북스투유,해피북스투유,장르소설,기존(0615),
휴브릿지,휴브릿지,장르소설,기존(0615),
희우,희우,,본부장확인(0721),
