label_resolved,settle,works,plats
불과 달의 노래 11(완결),900.0,1,1
불과 달의 노래 10,900.0,1,1
흑제 1,900.0,1,1
하오대문 7,900.0,1,1
축구천재는 명장이 됩니다 6,900.0,1,1
하오대문 6,900.0,1,1
하오대문 5,900.0,1,1
킹 엘리온 2,900.0,1,1
킹 엘리온 3,900.0,1,1
킹 엘리온 4,900.0,1,1
탐닉의 계절 [외전],900.0,1,1
불과 달의 노래 9,900.0,1,1
불과 달의 노래 8,900.0,1,1
불과 달의 노래 7,900.0,1,1
불과 달의 노래 6,900.0,1,1
광풍무 7,900.0,1,1
광풍무 6,900.0,1,1
광풍무 5,900.0,1,1
하오대문 10(완결),900.0,1,1
하오대문 2,900.0,1,1
하오대문 3,900.0,1,1
하오대문 4,900.0,1,1
축구천재는 명장이 됩니다 7(완결),900.0,1,1
의술의 신 11,900.0,1,1
축구천재는 명장이 됩니다 5,900.0,1,1
닉네임 좀비헌터 9,900.0,1,1
닉네임 좀비헌터 13,900.0,1,1
닉네임 좀비헌터 14,900.0,1,1
닉네임 좀비헌터 15(완결),900.0,1,1
영영물망 2,900.0,1,1
단우비 7,900.0,1,1
단우비 6,900.0,1,1
단우비 5,900.0,1,1
단우비 4,900.0,1,1
의술의 신 9,900.0,1,1
의술의 신 8,900.0,1,1
의술의 신 7,900.0,1,1
의술의 신 6,900.0,1,1
의술의 신 5,900.0,1,1
